Idea_ID,Theme,Idea_Text,Ranking,AOI_web_score,wins,loses,ties,total_matches,MOE_95,Idea_Source,UUID,Created_at,Idea_ES,Idea_ID_ES
1144776,Education,After school training and leadership programs,1,84.61538,21,3,1,25,0.141434093,USER,NA,2020-10-09 22:02:21 UTC,Programas extracurriculares de liderazgo y capacitación,1145234
1144797,Health Care,Universal Health Care,2,84,20,3,4,27,0.138284602,USER,NA,2020-10-09 22:03:45 UTC,Sistema de salud universal,1145255
1136534,Housing,Create more affordable Housing,3,80.25478,125,30,16,171,0.059665661,SEED,NA,2020-09-24 16:42:13 UTC,Crear viviendas más asequibles y económicas,1136585
1144775,Housing,Affordable Housing,4,75.86207,21,6,2,29,0.155746906,USER,NA,2020-10-09 22:02:16 UTC,Viviendas asequibles,1145233
1136536,Health Care,Increased mental Health Care services,5,75.5102,110,35,13,158,0.067053732,SEED,NA,2020-09-24 16:42:13 UTC,Aumentar los servicios de salud mental,1136587
1136527,Carceral System,Replace all police in schools with school counselors or social workers,6,75.1773,105,34,16,155,0.068007701,SEED,NA,2020-09-24 16:42:13 UTC,Reemplazar a toda la policía en las escuelas con consejeros académicos o trabajadores sociales,1136578
1144804,Education,More programs for children and youth,7,75,17,5,1,23,0.176967204,USER,NA,2020-10-09 22:04:11 UTC,Más programas para niños y la juventud,1145262
1136524,Education,Free public Head start and Early head start program,8,72.18045,95,36,19,150,0.07171257,SEED,NA,2020-09-24 16:42:13 UTC,Programas públicos gratuitos de Head Start y de Early Head Start,1136575
1144781,Infrastructure,CTA,9,71.42857,19,7,3,29,0.164421664,USER,NA,2020-10-09 22:02:42 UTC,CTA (Autoridad de Tránsito de Chicago),1145239
1144811,Community Resources,Resources for at risk youth,10,70.27027,25,10,1,36,0.149309044,USER,NA,2020-10-09 22:04:34 UTC,Recursos para jóvenes en situación de riesgo,1145269
1136540,Community Resources,Build community Health Care centers,11,70,125,53,14,192,0.064820907,SEED,NA,2020-09-24 16:42:13 UTC,Construir centros de salud comunitarios,1136591
1144810,Infrastructure,Recycling,12,69.56522,15,6,1,22,0.192276362,USER,NA,2020-10-09 22:04:31 UTC,Reciclaje,1145268
1136539,Community Resources,Substance abuse treatment programs,13,67.32026,102,49,23,174,0.069693718,SEED,NA,2020-09-24 16:42:13 UTC,Programas de tratamiento para los que abusan de sustancias,1136590
1144773,Health Care,Accessible Health Care,14,66.66667,17,8,2,27,0.177814807,USER,NA,2020-10-09 22:01:59 UTC,Sistema de salud accesible,1145231
1144800,Housing,More Housing,15,66.66667,13,6,0,19,0.211969318,USER,NA,2020-10-09 22:03:58 UTC,Más viviendas,1145258
1136528,Education,Tuition-free Education at Chicago City Colleges for Chicago residents,16,65.73427,93,48,17,158,0.074003702,SEED,NA,2020-09-24 16:42:13 UTC,Educación gratuita para residentes de Chicago en Chicago City Colleges,1136579
1144783,Health Care,Easily accessible Health Care,17,65.51724,18,9,2,29,0.172995927,USER,NA,2020-10-09 22:02:50 UTC,Sistema de salud fácilmente accesible,1145241
1144789,Housing,Funding for Housing / better Housing,18,65,12,6,1,19,0.214471689,USER,NA,2020-10-09 22:03:11 UTC,Financiamiento para viviendas / mejores viviendas,1145247
1136532,Housing,Homelessness prevention and services,19,64.82759,93,50,18,161,0.073760548,SEED,NA,2020-09-24 16:42:13 UTC,Servicios y prevención de la falta de vivienda,1136583
1138222,Housing,Lead pipe removal programs with assistance for low-income homeowners,20,64.82759,93,50,19,162,0.07353254,USER,cf084840-0023-11eb-b45e-6f0f9967f47c,2020-09-26 18:20:52 UTC,Programas de eliminación de tuberías de plomo con asistencia para propietarios de viviendas de bajos ingresos,1139988
1140850,Community Resources,Combine food assistance efforts with provision of fresh produce from local farmers,21,64.28571,44,24,7,75,0.108443537,USER,c70d0d00-041d-11eb-b8b3-ff1b6ec2112b,2020-10-01 19:58:46 UTC,Combinar los esfuerzos de asistencia alimentaria con el suministro de productos frescos de agricultores locales.,1141779
1136550,Community Resources,Domestic violence prevention and support,22,64.23841,96,53,15,164,0.073356727,SEED,NA,2020-09-24 16:42:13 UTC,Prevención y apoyo para victimas de la violencia doméstica,1136601
1144816,Community Resources,Better grocery stores,23,64,15,8,0,23,0.196170361,USER,NA,2020-10-09 22:04:56 UTC,Mejores tiendas de comestibles,1145274
1136543,Health Care,Maternal and Child Health Care,24,63.87097,98,55,21,174,0.071377503,SEED,NA,2020-09-24 16:42:13 UTC,Salud maternal e infantil,1136594
1136553,Infrastructure,Free high-speed internet access,25,63.69048,106,60,18,184,0.069485578,SEED,NA,2020-09-24 16:42:13 UTC,Acceso gratuito a Internet de alta velocidad,1136604
1136563,Carceral System,Restorative justice options for non-violent offenses,26,63.39869,96,55,19,170,0.072413588,SEED,NA,2020-09-24 16:42:13 UTC,Opciones de justicia restaurativa para delitos no violentos,1136614
1136530,Housing,Increased number of emergency shelters and Housing assistance,27,63.35404,101,58,23,182,0.070003634,SEED,NA,2020-09-24 16:42:13 UTC,Mayor número de refugios de emergencia y programas de asistencia para la vivienda,1136581
1144815,Community Resources,Youth employment training / trades,28,63.33333,18,10,2,30,0.172443703,USER,NA,2020-10-09 22:04:53 UTC,Formación laboral juvenil / oficios,1145273
1136556,Infrastructure,Update the city’s water Infrastructure,29,63.25301,104,60,19,183,0.069852509,SEED,NA,2020-09-24 16:42:13 UTC,Actualizar la infraestructura hídrica de la ciudad,1136607
1136533,Community Resources,Mandate community benefit agreements for all developments with city funding,30,63.08725,93,54,11,158,0.075246539,SEED,NA,2020-09-24 16:42:13 UTC,Obligar que los desarrollos con fondos de la ciudad tengan acuerdos de beneficio comunitario,1136584
1136525,Education,Free after school programs,31,63.05732,98,57,11,166,0.073423314,SEED,NA,2020-09-24 16:42:13 UTC,Programas para después de la escuela gratuitos,1136576
1136541,Community Resources,Increased funding for SNAP food assistance,32,62.77372,85,50,19,154,0.076350074,SEED,NA,2020-09-24 16:42:13 UTC,Mayor financiamiento para el programa de asistencia alimentaria de SNAP,1136592
1143536,Community Resources,More programs for youth so that they don't join gangs,33,62.5,14,8,4,26,0.186090859,USER,NA,2020-10-08 03:56:39 UTC,"Más programas para los jóvenes , para que no se involucren en pandillas",1142344
1144799,Education,More Education grants / scholarships,34,62.5,19,11,0,30,0.173241161,USER,NA,2020-10-09 22:03:54 UTC,Más subsidios / becas de educación,1145257
1144790,Community Resources,Get positive groups together for young people to be productive and go into business,35,61.53846,23,14,3,40,0.150769232,USER,NA,2020-10-09 22:03:15 UTC,Juntar a grupos positivos para que los jóvenes sean productivos y emprendan negocios,1145248
1144803,Housing,More options for affordable Housing,36,60.86957,13,8,3,24,0.195257569,USER,NA,2020-10-09 22:04:07 UTC,Más opciones de viviendas asequibles,1145261
1144793,Community Resources,Violence and gun control,37,59.09091,12,8,0,20,0.215482161,USER,NA,2020-10-09 22:03:27 UTC,Control de violencia y armas,1145251
1141481,Health Care,Fund universal child care,38,58.13953,24,17,4,45,0.144141031,USER,3c247cd0-04f6-11eb-93ca-db8214976cec,2020-10-02 21:32:01 UTC,Financiar el cuidado infantil universal,1143539
1136547,Community Resources,Green jobs work program,39,57.53425,83,61,16,160,0.076591171,SEED,NA,2020-09-24 16:42:13 UTC,Programa de trabajo de empleos verdes,1136598
1144788,Health Care,Funded mental Health Care services,40,56.25,17,13,3,33,0.169258074,USER,NA,2020-10-09 22:03:08 UTC,Servicios de salud mental financiados,1145246
1139983,Housing,More public Housing,41,56.03448,64,50,9,123,0.087717712,USER,NA,2020-09-29 19:56:04 UTC,Más viviendas públicas,1141775
1139986,Community Resources,"Black, Indigenous, and People of Color (BIPOC) entrepreneurship assistance funding",42,55.26316,62,50,7,119,0.089337357,USER,NA,2020-09-29 19:58:45 UTC,"Apoyo financiero para emprendimientos de personas afroamericanas, indígenas, y de color (BIPOC)",1139989
1136554,Infrastructure,"Update city transportation Infrastructure (roads, bridges, sidewalks, CTA trains)",43,55.17241,79,64,15,158,0.077546321,SEED,NA,2020-09-24 16:42:13 UTC,"Actualizar la infraestructura de transporte de la ciudad (carreteras, puentes, banquetas, trenes de CTA)",1136605
1144794,Community Resources,More rehab centers to help people get off drugs and have a shot at a better life,44,55,10,8,0,18,0.229830372,USER,NA,2020-10-09 22:03:31 UTC,Más centros de rehabilitación para ayudar a que las personas dejen las drogas y tengan la oportunidad de obtener una vida mejor,1145252
1144806,Carceral System,Police accountability,45,55,10,8,2,20,0.218036236,USER,NA,2020-10-09 22:04:18 UTC,Rendición de cuentas de la policía,1145264
1144817,Housing,Livable wages,46,54.54545,11,9,3,23,0.203497978,USER,NA,2020-10-09 22:04:59 UTC,Salario digno,1145275
1136549,Community Resources,Disabled youth employment programs,47,54.34783,74,62,19,155,0.078417328,SEED,NA,2020-09-24 16:42:13 UTC,Programas de empleo para jóvenes discapacitados,1136600
1144792,Infrastructure,Green space,48,52.94118,8,7,2,17,0.237273336,USER,NA,2020-10-09 22:03:23 UTC,Espacios verdes,1145250
1136552,Infrastructure,More public transit options,49,52.86624,82,73,21,176,0.073748806,SEED,NA,2020-09-24 16:42:13 UTC,Mayor opciones de transporte público,1136603
1144801,Community Resources,More jobs for high school students,50,52.17391,11,10,1,22,0.208739126,USER,NA,2020-10-09 22:04:01 UTC,Más empleos para estudiantes de la preparatoria,1145259
1136531,Housing,Increased foreclosure prevention,51,51.92308,80,74,14,168,0.075552697,SEED,NA,2020-09-24 16:42:13 UTC,Mayor prevención de ejecuciones hipotecarias,1136582
1143538,Carceral System,Replace the police with counselors,52,51.51515,16,15,0,31,0.175932363,USER,NA,2020-10-08 03:56:50 UTC,Reemplazar a la policía con consejeros,1143540
1136538,Community Resources,Air pollution prevention program,53,51.02041,74,71,14,159,0.077702869,SEED,NA,2020-09-24 16:42:13 UTC,Programa de prevención de la contaminación del aire,1136589
1136548,Community Resources,Funding for senior wellness and nutrition,54,51.02041,74,71,20,165,0.076277007,SEED,NA,2020-09-24 16:42:13 UTC,Financiamiento para el bienestar y la nutrición de las personas mayores,1136599
1139984,Housing,More cooperative Housing,55,50.80645,62,60,12,134,0.084648093,USER,NA,2020-09-29 19:56:09 UTC,Más cooperativas de viviendas,1141776
1136523,Infrastructure,Safe routes to schools,56,50.67568,74,72,24,170,0.075155706,SEED,NA,2020-09-24 16:42:13 UTC,Rutas seguras para llegar a las escuelas,1136574
1144809,Community Resources,Recreation,57,50,12,12,2,26,0.192193812,USER,NA,2020-10-09 22:04:28 UTC,Recreación,1145267
1144813,Health Care,Trauma healing,58,50,15,15,0,30,0.178922702,USER,NA,2020-10-09 22:04:46 UTC,Tratamiento de Traumas,1145271
1144819,Community Resources,Voter registration and engagement programs,59,50,16,16,3,35,0.165650234,USER,NA,2020-10-09 22:05:06 UTC,Programas de participación y registro de votantes,1145277
1144791,Infrastructure,Good roads and traffic lights,60,48.57143,16,17,0,33,0.170526458,USER,NA,2020-10-09 22:03:19 UTC,Buenas calles y semáforos,1145249
1136526,Education,Sex Education in schools,61,48.14815,64,69,20,153,0.079173945,SEED,NA,2020-09-24 16:42:13 UTC,Educación sexual en las escuelas,1136577
1144795,Community Resources,Jobs for youth,62,47.82609,10,11,2,23,0.204150893,USER,NA,2020-10-09 22:03:35 UTC,Trabajos para la juventud,1145253
1136535,Health Care,Lead poison prevention program,63,46.93878,68,77,19,164,0.076381584,SEED,NA,2020-09-24 16:42:13 UTC,Programas de prevención del envenenamiento por plomo,1136586
1144774,Housing,Affordable and accessible Housing / shelters,64,46.42857,12,14,1,27,0.188119347,USER,NA,2020-10-09 22:02:12 UTC,Viviendas / refugios asequibles y accesibles,1145232
1144787,Health Care,Free Health Care clinics with mental Health Care,65,46.42857,12,14,1,27,0.188119347,USER,NA,2020-10-09 22:03:04 UTC,Clínicas gratuitas de salud con salud mental,1145245
1138224,Community Resources,"Small, locally owned business rental assistance",66,45.45455,74,89,8,171,0.074632152,USER,cf084840-0023-11eb-b45e-6f0f9967f47c,2020-09-26 18:22:57 UTC,Asistencia de alquiler para empresas pequeñas con propietarios locales,1139987
1144780,Community Resources,COVID relief,67,45.45455,9,11,3,23,0.203497978,USER,NA,2020-10-09 22:02:39 UTC,Socorro del COVID,1145238
1144779,Community Resources,Community spaces,68,43.47826,9,12,1,22,0.207151733,USER,NA,2020-10-09 22:02:35 UTC,Espacios comunitarios,1145237
1139985,Housing,More community land trusts,69,43.10345,49,65,8,122,0.087876983,USER,NA,2020-09-29 19:56:12 UTC,Más fideicomisos de tierras de control comunitario,1141777
1144814,Carceral System,Replace current police with new police officers,70,42.10526,7,10,2,19,0.22200717,USER,NA,2020-10-09 22:04:49 UTC,Reemplazar a la policía actual con nuevos oficiales de policía,1145272
1136555,Community Resources,Affordable rooftop solar program,71,42,62,86,11,159,0.076717802,SEED,NA,2020-09-24 16:42:13 UTC,Programa económico y asequible para systemas solares en las azoteas,1136606
1144818,Community Resources,More multi-cultural businesses,72,41.46341,16,23,1,40,0.152676534,USER,NA,2020-10-09 22:05:02 UTC,Más negocios multiculturales,1145276
1144778,Community Resources,Community centers,73,41.37931,11,16,4,31,0.17337733,USER,NA,2020-10-09 22:02:30 UTC,Centros comunitarios,1145236
1144796,Housing,Less property taxes,74,40.74074,10,15,2,27,0.185338975,USER,NA,2020-10-09 22:03:41 UTC,Menos impuestos de propiedad,1145254
1136558,Education,Gang resistance Education,75,40.54054,59,87,12,158,0.076556624,SEED,NA,2020-09-24 16:42:13 UTC,Educación sobre como resistir entrar a las pandillas,1136609
1136551,Infrastructure,Increased Pedestrian and bicycle safety,76,40.35088,68,101,18,187,0.07031756,SEED,NA,2020-09-24 16:42:13 UTC,Mayor seguridad para peatones y ciclistas,1136602
1144820,Infrastructure,Alderpeople responsiveness,77,40,7,11,3,21,0.209532814,USER,NA,2020-10-09 22:05:11 UTC,Concejales receptivos,1145278
1144777,Carceral System,Alternatives to police,78,37.5,8,14,0,22,0.202302092,USER,NA,2020-10-09 22:02:25 UTC,Alternativas a la policía,1145235
1136542,Health Care,Teen pregnancy prevention,79,36.2963,48,85,15,148,0.077470921,SEED,NA,2020-09-24 16:42:13 UTC,Prevención del embarazo en adolescentes,1136593
1144785,Community Resources,Entertainment venues for youth,80,35.29412,11,21,1,33,0.163050507,USER,NA,2020-10-09 22:02:57 UTC,Lugares de entretenimiento para la juventud,1145243
1136537,Health Care,HIV/AIDS prevention and support,81,34.26573,48,93,22,163,0.072859835,SEED,NA,2020-09-24 16:42:13 UTC,Prevención y apoyo para el VIH / SIDA,1136588
1136546,Community Resources,Farmers markets,82,32.11679,43,92,5,140,0.077346258,SEED,NA,2020-09-24 16:42:13 UTC,Mercados de productores agrícolas,1136597
1144805,Community Resources,Place to go to give opinions,83,31.25,9,21,3,33,0.15814682,USER,NA,2020-10-09 22:04:14 UTC,Un lugar para dar opiniones,1145263
1144786,Community Resources,Entrepreneurship programs,84,30.43478,6,15,0,21,0.19680113,USER,NA,2020-10-09 22:03:00 UTC,Programas de emprendimiento,1145244
1144782,Community Resources,Cultural events,85,30,5,13,2,20,0.200840235,USER,NA,2020-10-09 22:02:47 UTC,Eventos culturales,1145240
1136557,Infrastructure,Snow and ice removal,86,29.375,46,112,10,168,0.068876267,SEED,NA,2020-09-24 16:42:13 UTC,Trasteo y eliminación de nieve y hielo en las calles,1136608
1136544,Infrastructure,Fire prevention and safety program,87,28.93082,45,112,9,166,0.068979978,SEED,NA,2020-09-24 16:42:13 UTC,Programa de prevención y seguridad contra incendios,1136595
1144784,Community Resources,Entertainment venues,88,28.57143,7,19,2,28,0.167332008,USER,NA,2020-10-09 22:02:53 UTC,Lugares de entretenimiento,1145242
1136545,Community Resources,More public art,89,28.08219,40,104,7,151,0.071680547,SEED,NA,2020-09-24 16:42:13 UTC,Más arte público,1136596
1136560,Carceral System,Body cameras for police,90,26.25,41,117,9,167,0.066733438,SEED,NA,2020-09-24 16:42:13 UTC,Cámaras corporales para policía,1136611
1144802,Infrastructure,More lights,91,25.71429,8,25,3,36,0.142772554,USER,NA,2020-10-09 22:04:04 UTC,Más luces,1145260
1136529,Housing,Increased building code enforcement,92,25.40984,30,90,10,130,0.074838682,SEED,NA,2020-09-24 16:42:13 UTC,Mayor aplicación y cumplimiento con las leyes del código de construcción,1136580
1144812,Community Resources,Small business loan,93,25,6,20,1,27,0.163333333,USER,NA,2020-10-09 22:04:43 UTC,Préstamos para pequeñas empresas,1145270
1136561,Carceral System,Increased CPD anti-gang initiative funding,94,20.39474,30,120,15,165,0.061481445,SEED,NA,2020-09-24 16:42:13 UTC,Aumento de la financiación de la iniciativa antipandilla de CPD,1136612
1136562,Carceral System,Police use of force training,95,18.30065,27,124,7,158,0.060293443,SEED,NA,2020-09-24 16:42:13 UTC,Entrenamiento policial sobre el uso de la fuerza,1136613
1144808,Community Resources,Personal protective equipment (PPE) like masks,96,17.24138,4,23,3,30,0.135172416,USER,NA,2020-10-09 22:04:24 UTC,Equipos de protección individual (PPE) como mascarillas respiratorias,1145266
1136559,Carceral System,Police leadership training,97,16.66667,23,119,13,155,0.05867107,SEED,NA,2020-09-24 16:42:13 UTC,Entrenamiento de liderazgo policial,1136610
1144798,Community Resources,Money for small businesses,98,16,3,20,0,23,0.149827588,USER,NA,2020-10-09 22:03:51 UTC,Dinero para pequeñas empresas,1145256
1140851,Community Resources,Preference for union companies in permitting,99,15.78947,11,63,4,78,0.080923703,USER,e439f610-0423-11eb-b16a-bdbe6a6a0c31,2020-10-01 20:26:30 UTC,Dar preferencia a la contratación de empresas sindicales en los permisos y proyectos de la ciudad,1141778
1144807,Carceral System,Police protection,100,13.04348,2,19,2,23,0.137638511,USER,NA,2020-10-09 22:04:21 UTC,Protección policial,1145265
1136564,Carceral System,"Predictive policing (e.g., gang database, strategic subject list)",101,10.29412,13,121,11,145,0.049462623,SEED,NA,2020-09-24 16:42:13 UTC,"Policía predictiva (por ejemplo, base de datos de pandillas, lista estratégica de sujetos)",1136615
1143537,Carceral System,More police in our community,102,2.77778,0,34,1,35,0.054444466,USER,NA,2020-10-08 03:56:45 UTC,Necesitamos mas policias en nuestra comunidad.,1141811
